"number","provider","credential","status","image_file","source_url"
"15","Harvard CS50 AI","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/015-harvard-cs50-ai-certificate.webp","https://cs50.harvard.edu/ai/certificate/"
"16","Saylor Academy","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/016-saylor-academy-certificate.webp","https://www.saylor.org/certificates/"
"17","Kaggle Learn","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/017-kaggle-learn-certificate.webp","https://www.kaggle.com/learn/certification/lehrasibali/intro-to-machine-learning"
"18","Hugging Face","your certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/018-hugging-face-your-certificate.webp","https://huggingface.co/learn/agents-course/unit1/get-your-certificate"
"19","HP LIFE","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/019-hp-life-certificate.webp","https://api.life-global.org/learning/api/certificates/27be0f1a-1fa1-47d2-94fc-44b42a580d10"
"20","openHPI","participation record","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/020-openhpi-participation-record.webp","https://open.hpi.de/pages/document_types?locale=en"
"21","freeCodeCamp","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/021-freecodecamp-certificate.webp","https://www.freecodecamp.org/certification/fcc603b5224-0381-4146-9502-07f258055cc0/machine-learning-with-python-v7"
"22","Semrush Academy","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/022-semrush-academy-certificate.webp","https://static.semrush.com/academy/certificates/5d78408997/kate-carey_26.pdf"
"23","HubSpot Academy","certificate","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/023-hubspot-academy-certificate.webp","https://knowledge.hubspot.com/help-and-resources/how-can-i-view-and-download-my-certification"
"24","Simplilearn SkillUp","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/024-simplilearn-skillup-certificate.webp","https://certificates.simplicdn.net/share/8430411_87752711749106562688.pdf"
"25","University of Florida","AI badge","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/025-university-of-florida-ai-badge.webp","https://www.credly.com/org/university-of-florida/badge/artificial-intelligence-ai"
"26","Saint Louis University","ML badge","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/026-saint-louis-university-ml-badge.webp","https://www.credly.com/org/saint-louis-university-chaifetz-school-of-business/badge/data-science-machine-learning-competition"
"27","PMI","Generative AI course certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/027-pmi-generative-ai-course-certificate.webp","https://progsofts.com/rizwan/Courses/Generative%20AI%20Overview%20for%20Project%20Managers.pdf"
"28","GitHub","Copilot certification","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/028-github-copilot-certification.webp","https://www.credly.com/org/github/badge/github-copilot"
"29","SAS","AI & ML certification","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/029-sas-ai-ml-certification.webp","https://www.credly.com/org/sas/badge/sas-certified-professional-ai-machine-learning.1"
"30","Red Hat","AI Foundations badge","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/030-red-hat-ai-foundations-badge.webp","https://www.credly.com/org/red-hat-inc/badge/red-hat-ai-foundations-technical-skills-badge"
"31","Linux Foundation","Secure AI badge","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/031-linux-foundation-secure-ai-badge.webp","https://www.credly.com/org/the-linux-foundation/badge/lfel1012-secure-ai-ml-driven-software-development"
"32","Cloudera","ML Engineer","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/032-cloudera-ml-engineer.webp","https://www.credly.com/org/cloudera/badge/cdp-certified-machine-learning-engineer"
"33","Teradata","Data Science","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/033-teradata-data-science.webp","https://www.credly.com/org/teradata/badge/vantage-data-science-certification"
"34","APMG","AI Practitioner","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/034-apmg-ai-practitioner.webp","https://www.credly.com/org/apmg-international/badge/artificial-intelligence-practitioner-aip/"
"35","AI Institute","GenAI Practitioner","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/035-ai-institute-genai-practitioner.webp","https://www.credly.com/org/ai-institute/badge/generative-ai-practitioner"
"36","Decoded","Machine Learning","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/036-decoded-machine-learning.webp","https://www.credly.com/org/decoded/badge/machine-learning"
"37","Franklin University","Data & ML","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/037-franklin-university-data-ml.webp","https://www.credly.com/org/franklin-university/badge/data-machine-learning-engineering"
"38","TECH I.S.","Data, ML & AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/038-tech-i-s-data-ml-ai.webp","https://www.credly.com/org/tech-i-s/badge/data-science-machine-learning-ai"
"39","AIS Academy","AI Foundation","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/039-ais-academy-ai-foundation.webp","https://www.credly.com/org/ais-academy/badge/artificial-intelligence-foundation"
"40","Great Learning","AI certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/040-great-learning-ai-certificate.webp","https://www.mygreatlearning.com/certificate/UHWQWTQT"
"41","Alison","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/041-alison-certificate.webp","https://helpcenter.alison.com/en/articles/8206452-sample-alison-certificate-and-diploma-parchment"
"42","Codecademy","NLP certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/042-codecademy-nlp-certificate.webp","https://www.codecademy.com/profiles/ANDRES.R.BUCHELI/certificates/b6d2d1d0d1c2d9dfae7a6ea0197354ba"
"43","DataCamp","AI Fundamentals","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/043-datacamp-ai-fundamentals.webp","https://careerhub-api.datacamp.com/certificates/AIF0029647638027/pdf"
"44","Udemy","ML certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/044-udemy-ml-certificate.webp","https://www.udemy.com/certificate/UC-DM5ROQH4/"
"45","Coursera","TensorFlow AI","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/045-coursera-tensorflow-ai.webp","https://www.coursera.org/account/accomplishments/verify/2WBFM5YCHZ36"
"46","edX / MITx","Machine Learning","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/046-edx-mitx-machine-learning.webp","https://courses.edx.org/certificates/ac12ad62271f48d3ab944607ba1eb2b5"
"47","LinkedIn Learning","GenAI","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/047-linkedin-learning-genai.webp","https://www.linkedin.com/learning/certificates/2af4b08089309dd1ed6ae81e3862b61a251e16aaacb280c262c8b16de3217a5c"
"48","Udacity","Ethical AI","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/048-udacity-ethical-ai.webp","https://www.udacity.com/certificate/e/224ad0e0-f8bc-11ee-8c8d-dbea505a7081"
"49","FutureLearn","Artificial Intelligence","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/049-futurelearn-artificial-intelligence.webp","https://www.futurelearn.com/certificates/hhbh33a"
"50","Pluralsight","GenAI for Innovators","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/050-pluralsight-genai-for-innovators.webp","https://grokify.github.io/certificates/artificial-intelligence/#generative-ai-for-innovators-from-pluralsight-by-esteban-herrera"
"51","DeepLearning.AI","Machine Learning","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/051-deeplearning-ai-machine-learning.webp","https://www.deeplearning.ai/certificates/d0a7ac3f-28f3-4504-9426-9ace791f0fc1"
"52","Stanford Online","AI Professional","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/052-stanford-online-ai-professional.webp","https://cv.xn--jrme-mign-b4ai8j.fr/pdf/Stanford_AI_Professional_Certificate.pdf"
"53","MIT xPRO","AI Products & Services","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/053-mit-xpro-ai-products-services.webp","https://www.tips-usa.com/assets/Vendorspdf/231002_CONTRACT_Building_Opt.pdf#page=49"
"54","Oxford Saïd","AI Programme","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/054-oxford-said-ai-programme.webp","https://dp.edu.az/uploads/fileuploads/2022/05/16d064ac050249b9b8dfa1eca370f2f3.pdf#page=10"
"55","NPTEL / SWAYAM","Artificial Intelligence","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/055-nptel-swayam-artificial-intelligence.webp","https://archive.nptel.ac.in/content/noc/NOC25/SEM2/Ecertificates/106/noc25-cs159/Course/NPTEL25CS159S116080063810383422.pdf"
"56","Vanderbilt","Prompt Engineering","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/056-vanderbilt-prompt-engineering.webp","https://www.coursera.org/account/accomplishments/verify/WN8ZQLA9VWDJ"
"57","Wharton / Penn","AI for Business","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/057-wharton-penn-ai-for-business.webp","https://www.coursera.org/account/accomplishments/specialization/V98KQDTQTVYD"
"58","Duke","AI Product Management","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/058-duke-ai-product-management.webp","https://www.coursera.org/account/accomplishments/specialization/PKJGVYSD2CLF"
"59","Meta","GenAI in Data Analytics","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/059-meta-genai-in-data-analytics.webp","https://www.coursera.org/account/accomplishments/verify/UQCCVTRW4U7X"
"60","Databricks Academy","GenAI Fundamentals","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/060-databricks-academy-genai-fundamentals.webp","https://credentials.databricks.com/b63a9dd7-ed6e-4571-a9e0-e30fb649c08f"
"61","Snowflake","Data Scientist","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/061-snowflake-data-scientist.webp","https://www.credly.com/badges/9a7af63f-c8c5-4bd4-ab31-ce658f83e8ba/linked_in_profile"
"62","MongoDB","Search Fundamentals","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/062-mongodb-search-fundamentals.webp","https://www.credly.com/org/mongodb/badge/search-with-mongodb"
"63","Neo4j","Graph Data Science","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/063-neo4j-graph-data-science.webp","https://graphacademy.neo4j.com/c/11d3a24b-c87a-4a9c-b4d7-c8975e0522d5"
"64","Dataiku","Advanced Designer","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/064-dataiku-advanced-designer.webp","https://raw.githubusercontent.com/AndreaFrattini/Certificates/main/Dataiku%20-%20Advanced%20Designer%20Certificate.pdf"
"65","UiPath","Specialized AI Associate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/065-uipath-specialized-ai-associate.webp","https://credentials.uipath.com/5cd6fc5a-2d96-4273-abe1-b50ddea3eacf"
"66","Alibaba Cloud","AI Associate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/066-alibaba-cloud-ai-associate.webp","https://edu.aliyun.com/certification/ACA05"
"67","Infosys Springboard","AI & ML","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/067-infosys-springboard-ai-ml.webp","https://infyspringboard.onwingspan.com/public-assets/infosysheadstart/cert/lex_auth_01381726723041689676/1-f5cbb8cf-9520-48c5-b66b-ad35f99518db.pdf"
"68","eCornell","Machine Learning","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/068-ecornell-machine-learning.webp","https://ecornell.cornell.edu/certificates/technology/"
"69","UC Berkeley Exec Ed","AI Strategy","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/069-uc-berkeley-exec-ed-ai-strategy.webp","https://www.analyticsinsight.net/education/top-10-ai-certifications-recognized-in-usa"
"70","Carnegie Mellon","Artificial Intelligence","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/070-carnegie-mellon-artificial-intelligence.webp","https://execonline.cs.cmu.edu/introduction-artificial-intelligence"
"71","University of Michigan","Applied ML","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/071-university-of-michigan-applied-ml.webp","https://www.coursera.org/account/accomplishments/verify/E8F792F75CU2"
"72","University of Washington","Machine Learning","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/072-university-of-washington-machine-learning.webp","https://www.coursera.org/account/accomplishments/verify/WEG733BSTSJF"
"73","Imperial College London","ML Mathematics","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/073-imperial-college-london-ml-mathematics.webp","https://www.coursera.org/account/accomplishments/specialization/BGCTZ9C649FH"
"74","Politecnico di Milano","AI Overview","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/074-politecnico-di-milano-ai-overview.webp","https://www.coursera.org/account/accomplishments/verify/Z3Q6R65USW23"
"75","KAIST","Practical AI Coding","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/075-kaist-practical-ai-coding.webp","https://www.coursera.org/account/accomplishments/verify/TXPXKL2EPUM3"
"76","UC Davis","AI & Ethics","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/076-uc-davis-ai-ethics.webp","https://coursera.org/share/f8696421c56b20dc8ea1dfa3c8c4d043"
"77","Deloitte","Advanced Machine Learning","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/077-deloitte-advanced-machine-learning.webp","https://www.credly.com/org/deloitte/badge/machine-learning-advanced"
"78","PwC","Academy GenAI Launchpad certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/078-pwc-academy-genai-launchpad-certificate.webp","https://career247.com/job-assisted-programs/genai-for-all"
"79","Workearly","Big Data & ML","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/079-workearly-big-data-ml.webp","https://www.credly.com/org/workearly/badge/big-data-machine-learning-certification"
"80","Minnesota State","Introduction to ML","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/080-minnesota-state-introduction-to-ml.webp","https://www.credly.com/org/minnesota-state-it-center-of-excellence/badge/introduction-to-machine-learning-badges-certificate"
"81","LaGuardia CC","Artificial Intelligence","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/081-laguardia-cc-artificial-intelligence.webp","https://www.credly.com/org/laguardia-community-college/badge/artificial-intelligence-certificate"
"82","KNIME","Machine Learning","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/082-knime-machine-learning.webp","https://www.credly.com/org/knime/badge/machine-learning-in-knime-analytics-platform"
"83","New Horizons","CertNexus AI Practitioner","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/083-new-horizons-certnexus-ai-practitioner.webp","https://www.credly.com/org/new-horizons-computer-learning-center/badge/certnexus-certified-artificial-intelligence-practit"
"84","Penn State Engineering","AI Data Modeling","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/084-penn-state-engineering-ai-data-modeling.webp","https://www.credly.com/org/penn-state-college-of-engineering/badge/data-modeling-for-artificial-intelligence"
"85","EY","Artificial Intelligence","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/085-ey-artificial-intelligence.webp","https://www.credly.com/org/ey/badge/ey-artificial-intelligence-silver-2021"
"86","Dell Technologies","GenAI Engineering","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/086-dell-technologies-genai-engineering.webp","https://www.credly.com/org/delltechnologies/badge/dell-genai-model-augmentation-and-data-engineering-"
"87","KPMG","AI & Automation","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/087-kpmg-ai-automation.webp","https://www.credly.com/org/kpmg/badge/digital-and-data-foundations-artificial-intelligenc"
"88","O’Reilly","AI & Machine Learning","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/088-o-reilly-ai-machine-learning.webp","https://www.credly.com/org/o-reilly-media/badge/ai-and-machine-learning.1"
"89","Adobe","Creativity with AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/089-adobe-creativity-with-ai.webp","https://www.credly.com/org/adobe/badge/adobe-and-pearson-creativity-with-ai"
"90","Cognizant","AI Vibe Coding","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/090-cognizant-ai-vibe-coding.webp","https://www.credly.com/org/cognizant/badge/vibe-code-hackathon-vibe-coded-using-cursor"
"91","ISACA","AI Fundamentals","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/091-isaca-ai-fundamentals.webp","https://www.credly.com/org/isaca/badge/artificial-intelligence-fundamentals-certificate"
"92","Certiport","GenAI Foundations certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/092-certiport-genai-foundations-certificate.webp","https://store.commsgate.africa/products/generative-ai-foundations-certification-exam-voucher"
"93","Praxis AI","GenAI Foundations","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/093-praxis-ai-genai-foundations.webp","https://www.credly.com/org/praxis-ai/badge/generative-ai-foundations"
"94","Badge Nation","Build with AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/094-badge-nation-build-with-ai.webp","https://www.credly.com/org/badge-nation/badge/build-with-artificial-intelligence"
"95","HFMA","AI Governance","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/095-hfma-ai-governance.webp","https://www.credly.com/org/healthcare-financial-management-association/badge/ai-governance"
"96","St. John’s University","AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/096-st-john-s-university-ai.webp","https://www.credly.com/org/st-johns-university/badge/artificial-intelligence"
"97","DaCodes","GenAI Foundations","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/097-dacodes-genai-foundations.webp","https://www.credly.com/org/dacodes/badge/generative-ai-foundations"
"98","Harper College","Introduction to AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/098-harper-college-introduction-to-ai.webp","https://www.credly.com/org/harper-college-community-education/badge/introduction-to-artificial-intelligence-ai/"
"99","BCG","AI Literacy","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/099-bcg-ai-literacy.webp","https://www.credly.com/org/boston-consulting-group-bcg/badge/artificial-intelligence-for-scbx"
"100","Florida International University","AI Essentials certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/100-florida-international-university-ai-essentials-certificate.webp","https://ziplines.fiu.edu/ai-essentials"
"101","Purdue University Online","Data Science & Generative AI certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/101-purdue-university-online-data-science-generative-ai-certificate.webp","https://www.simplilearn.com/pgp-data-science-certification-bootcamp-program"
"102","University of Phoenix","Generative AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/102-university-of-phoenix-generative-ai.webp","https://www.credly.com/org/the-university-of-phoenix/badge/generative-ai-everyday-application"
"103","Boston University","GenAI for Leaders","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/103-boston-university-genai-for-leaders.webp","https://www.credly.com/org/boston-university/badge/generative-ai-for-leaders"
"104","Bee-Relevant","Generative AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/104-bee-relevant-generative-ai.webp","https://www.credly.com/org/bee-relevant/badge/generative-ai"
"105","ProEdge","Responsible AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/105-proedge-responsible-ai.webp","https://www.credly.com/org/proedge/badge/introduction-to-responsible-ai/"
"106","Emory Continuing Education","Responsible AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/106-emory-continuing-education-responsible-ai.webp","https://www.credly.com/org/emory-university/badge/responsible-ai-ethical-strategies-for-your-organiza"
"107","GAIN Academy","Responsible AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/107-gain-academy-responsible-ai.webp","https://www.credly.com/org/gain/badge/5281-responsible-ai"
"108","Southern Connecticut State","AI Foundations","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/108-southern-connecticut-state-ai-foundations.webp","https://www.credly.com/org/southern-connecticut-state-university/badge/artificial-intelligence-foundations-for-workplace-s"
"109","Marshall Skills Exchange","Generative AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/109-marshall-skills-exchange-generative-ai.webp","https://www.credly.com/org/mse/badge/introduction-to-generative-ai"
"110","Cardiff Metropolitan","Machine Learning","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/110-cardiff-metropolitan-machine-learning.webp","https://www.credly.com/org/cardiff-metropolitan-university/badge/machine-learning"
"111","CPA Ontario","GenAI for CPAs","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/111-cpa-ontario-genai-for-cpas.webp","https://www.credly.com/org/cpaontario/badge/introduction-to-generative-ai-for-cpas-certificate"
"112","Virginia Commonwealth","AI Ethics","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/112-virginia-commonwealth-ai-ethics.webp","https://www.credly.com/org/virginia-commonwealth-university/badge/ethics-and-philosophy-of-ai"
"113","Oklahoma State Regents","AI Ethics","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/113-oklahoma-state-regents-ai-ethics.webp","https://www.credly.com/org/oklahoma-state-regents-for-higher-education-osrhe/badge/ethics-of-artificial-intelligence-ai"
"114","Web Age Solutions","Prompt Engineering","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/114-web-age-solutions-prompt-engineering.webp","https://www.credly.com/org/web-age-solutions/badge/prompt-engineering-techniques-and-best-practices"
"115","Nassau Community College","AI Prompting","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/115-nassau-community-college-ai-prompting.webp","https://www.credly.com/org/nassau-community-college/badge/use-prompt-engineering-in-ai-searches"
"116","Moderna","AI Academy","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/116-moderna-ai-academy.webp","https://www.credly.com/org/moderna/badge/moderna-ai-academy-awareness.1"
"117","UBS","AI Citizen","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/117-ubs-ai-citizen.webp","https://www.credly.com/org/ubs/badge/ai-citizen-learning-journey"
"118","Akkodis","AI for Leaders","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/118-akkodis-ai-for-leaders.webp","https://www.credly.com/org/modis/badge/ai-for-leaders/"
"119","Vonage","AI Studio Foundation","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/119-vonage-ai-studio-foundation.webp","https://www.credly.com/org/vonage/badge/vonage-ai-studio-foundation/"
"120","Linde","Basics of AI","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/120-linde-basics-of-ai.webp","https://www.credly.com/org/linde/badge/digital-enthusiast-basics-of-ai"
"121","Training Industry","AI Essentials","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/121-training-industry-ai-essentials.webp","https://www.credly.com/org/training-industry-inc/badge/ai-essentials-for-training-managers/"
"122","LoopMe","AI in Media","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/122-loopme-ai-in-media.webp","https://www.credly.com/org/loopme/badge/ai-academy-ai-in-media"
